,SE,主油箱油温,P2.1泵电流,总推进力
SE,1.0,-0.029057100751943395,0.16006337765024156,0.6560259897087133
主油箱油温,-0.029057100751943395,1.0,0.21346754798576253,0.04338929235412987
P2.1泵电流,0.16006337765024156,0.21346754798576253,1.0,0.20305041008373342
总推进力,0.6560259897087133,0.04338929235412987,0.20305041008373342,1.0
