train_loss,val_loss,recon_loss,kl_loss
339553.5506756757,300930.115625,339553.5329391892,18.65470857555802
283235.875,260477.975,283235.84375,43.0367882187302
246881.3272804054,227955.7515625,246881.28125,46.92322581523174
216517.9375,199718.8265625,216517.890625,48.833963961214636
189757.64569256757,174596.625,189757.59881756757,50.36429245407517
165630.7964527027,152113.009375,165630.7495777027,51.68814808613545
144185.41300675675,131972.73828125,144185.36613175675,52.8164295505833
124987.52913851352,113885.3453125,124987.4757179054,53.82596423174884
107652.03842905405,97673.2265625,107651.98374155405,54.714988192996465
92115.12690033784,83142.01328125,92115.07221283784,55.534384856352936
78216.73754222973,70177.7109375,78216.68285472973,56.27618490683066
65851.14125844595,58691.616015625,65851.0846706081,56.95680308986355
54858.29317989865,48627.52265625,54858.23458614865,57.587517197067676
45329.42736486487,39913.788671875,45329.36877111487,58.18220767459354
37123.42419763513,32531.4771484375,37123.36560388513,58.726996344489024
30259.869826858107,26374.7849609375,30259.811233108107,59.23668619104334
24560.536475929053,21422.476953125,24560.47629856419,59.69530414890598
20052.32791385135,17575.099609375,20052.26736697635,60.10817677265889
16642.65865181588,14758.01318359375,16642.59810494088,60.46708060599662
14247.073585304053,12893.73798828125,14247.013038429053,60.76755853601404
12771.605574324325,11883.67646484375,12771.545027449325,60.938690288646804
12129.678367820947,11612.8681640625,12129.617820945947,60.85749002405115
12040.981762035473,11610.44677734375,12040.921743032095,59.94583428872598
12038.014278927365,11626.3388671875,12037.955922719595,58.44961949941274
12048.459142736487,11648.07744140625,12048.402053420608,57.087531631057324
12052.124788851352,11600.62294921875,12052.069230363175,55.569984229835306
12065.824904983108,11608.2734375,12065.770930109797,53.977914449330925
12034.585145692568,11602.62939453125,12034.532754434122,52.41624203243771
12039.799250422297,11610.71259765625,12039.748337204392,50.89389842265361
12043.74049831081,11610.529296875,12043.690720016892,49.67402257146062
12021.141495988175,11613.44326171875,12021.092615076013,48.90103046314137
12062.307669974662,11612.29208984375,12062.259976773648,47.71096966717694
12041.608451224662,11609.4779296875,12041.5625,45.96535615663271
12048.325881545608,11607.2318359375,12048.28175147804,44.1145114383182
